batch;dk_cells;training_cells;clean_dataset_ratio;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;repairs_on_correct_cells;repairs_on_incorrect_cells
1;787;1036;0.9782352941176471;1.0;0.26;0.2765957446808511;0.41269841269841273;0.43333333333333335;47.0;50.0;13.0;33.0;0;13.0
2;744;868;0.9911764705882353;1.0;0.3023255813953488;0.38235294117647056;0.46428571428571425;0.5531914893617021;34.0;43.0;13.0;27.0;0;13.0
3;924;833;0.9888235294117647;1.0;0.36666666666666664;0.4230769230769231;0.5365853658536585;0.5945945945945945;52.0;60.0;22.0;32.0;0;22.0
4;799;1004;0.9891176470588235;1.0;0.32727272727272727;0.375;0.4931506849315069;0.5454545454545454;48.0;55.0;18.0;24.0;0;18.0
5;828;1147;0.9855882352941177;0.6060606060606061;0.35714285714285715;0.4444444444444444;0.449438202247191;0.5128205128205128;45.0;56.0;20.0;33.0;13.0;20.0
6;931;910;0.9873529411764705;1.0;0.21818181818181817;0.2857142857142857;0.3582089552238806;0.4444444444444445;42.0;55.0;12.0;12.0;0;12.0
7;819;1134;0.9920588235294118;1.0;0.4375;0.4883720930232558;0.6086956521739131;0.65625;43.0;48.0;21.0;21.0;0;21.0
8;890;902;0.9911764705882353;1.0;0.5;0.5555555555555556;0.6666666666666666;0.7142857142857143;54.0;60.0;30.0;30.0;0;30.0
9;758;1076;0.9947058823529412;1.0;0.55;0.6666666666666666;0.7096774193548387;0.8;33.0;40.0;22.0;22.0;0;22.0
10;659;911;0.9944117647058823;1.0;0.5476190476190477;0.6388888888888888;0.7076923076923077;0.7796610169491525;36.0;42.0;23.0;23.0;0;23.0
